filepath,testclass,testname,line number,assert string
tests\test_basic.py,,test_response_types,1176,assert rv.headers['X-Foo'] == 'Test'
tests\test_basic.py,,test_response_types,1177,assert rv.status_code == 200
tests\test_basic.py,,test_response_types,1178,assert rv.mimetype == 'text/plain'
tests\test_basic.py,,test_response_types,1181,"assert rv.data == b'Hi, status!'"
tests\test_basic.py,,test_response_types,1182,assert rv.status_code == 400
tests\test_basic.py,,test_response_types,1183,assert rv.mimetype == 'text/html'
tests\test_basic.py,,test_response_types,1186,assert rv.data == b'Hello world'
tests\test_basic.py,,test_response_types,1187,assert rv.content_type == 'text/plain'
tests\test_basic.py,,test_response_types,1188,assert rv.headers.getlist('X-Foo') == ['Bar']
tests\test_basic.py,,test_response_types,1189,assert rv.headers['X-Bar'] == 'Foo'
tests\test_basic.py,,test_response_types,1190,assert rv.status_code == 404
tests\test_basic.py,,test_response_types,1193,assert rv.data == b'Hello world'
tests\test_basic.py,,test_response_types,1194,assert rv.status_code == 500
tests\test_basic.py,,test_response_types,1197,assert b'Not Found' in rv.data
tests\test_basic.py,,test_response_types,1198,assert rv.status_code == 404
tests\test_basic.py,,test_response_types,1201,assert rv.json == {'foo': 'bar'}
tests\test_basic.py,,test_response_types,1202,assert rv.status_code == 201
tests\test_basic.py,,test_response_types,1205,"assert rv.json == ['foo', 'bar']"
tests\test_basic.py,,test_response_types,1206,assert rv.status_code == 201
tests\test_basic.py,,test_route_decorator_custom_endpoint,1722,assert flask.url_for('foo') == '/foo/'
tests\test_basic.py,,test_route_decorator_custom_endpoint,1723,assert flask.url_for('bar') == '/bar/'
tests\test_basic.py,,test_route_decorator_custom_endpoint,1724,assert flask.url_for('123') == '/bar/123'
tests\test_basic.py,,test_route_decorator_custom_endpoint,1726,assert client.get('/foo/').data == b'foo'
tests\test_basic.py,,test_route_decorator_custom_endpoint,1727,assert client.get('/bar/').data == b'bar'
tests\test_basic.py,,test_route_decorator_custom_endpoint,1728,assert client.get('/bar/123').data == b'123'
tests\test_basic.py,,test_routing_redirect_debugging,1695,assert rv.data == b'success'
tests\test_basic.py,,test_routing_redirect_debugging,1703,"assert ""canonical URL 'http://localhost/user/'"" in str(exc_info.value)"
tests\test_basic.py,,test_run_defaults,1854,assert rv['result'] == 'running...'
tests\test_basic.py,,test_run_from_config,1886,assert hostname == expect_host
